Team,Overturns,Leading to goals for,Disallowed goals for,Leading to goals against,Disallowed goals against,Net goal score,Subjective decisions for,Subjective decisions against,Net subjective score
Brighton & Hove Albion,12,2,2,0,7,7,2,0,2
Manchester United,13,1,0,2,7,6,6,2,4
Crystal Palace,12,3,4,0,1,2,6,2,4
Burnley,11,2,3,1,4,2,4,2,2
Newcastle,3,1,0,0,0,1,2,0,2
Southampton,13,0,0,1,7,6,1,4,-3
Liverpool,8,1,3,0,4,2,1,1,0
Leicester City,15,1,3,1,4,1,3,3,0
Tottenham Hotspur,15,1,4,1,6,2,3,3,0
Manchester City,16,3,4,2,2,-1,4,4,0
Arsenal,9,4,2,1,0,1,1,4,-3
Everton,7,2,2,1,1,0,2,2,0
AFC Bournemouth,12,2,5,1,1,-3,2,4,-2
Chelsea,12,2,4,2,2,-2,4,4,0
Watford,6,1,1,2,1,-1,1,3,-2
Aston Villa,7,0,3,1,1,-3,2,3,-1
West Ham,16,1,5,5,4,-5,2,1,1
Sheffield United,11,0,5,1,2,-4,1,2,-1
Wolves,9,1,4,1,1,-3,2,1,+1
Norwich City,11,0,2,2,2,-4,1,5,-4
